,movieCd,movieNm,movieNmEn,openDt,typeNm,showTm,nations,actors,companys,audits,directors,genres
36,20050179,스텔스,Stealth,20050728,장편,116,미국,10063343|10066257|10063588,20101589,2005-F186|12세관람가,10018221,액션|어드벤처|스릴러
37,20081790,디파이언스,Defiance,20090108,장편,136,미국,10009451|10063545|10019511,20100857,2008-F467|15세이상관람가,10047731,드라마|전쟁
38,20119856,베니싱,Vanishing on 7th Street,20110331,장편,91,미국,10067699|10088620|10079550,20100932,2011-F135|12세이상관람가,10032061,미스터리
39,20030397,천년호,The Legend Of The Evil Lake,20031128,장편,92,한국,10062240|10006497|10006371|10072549|10000736|20166242,20100303,2003-F309|15세관람가,10054850,멜로/로맨스|액션|판타지
40,20113975,우먼 인 블랙,The Woman In Black,20120216,장편,95,영국,10009288|10040142|10059057,20100932|20100929,2012-F79|15세이상관람가,10064256,드라마|공포(호러)|스릴러
41,20151815,뮨: 달의 요정,Mune,20150924,장편,85,프랑스,10066347|20126651,20111081|20121879,2015-MF00952 |전체관람가|2015-MF00981|전체관람가,10044726|20143681,애니메이션
42,20100796,아바타 3D 스페셜에디션,Avatar,20100904,장편,170,미국,10035005|10065071,20100041,2010-F365|12세이상관람가|2018-MF00618|12세이상관람가,10064304,SF|액션
44,20185485,보헤미안 랩소디,Bohemian Rhapsody,20181031,장편,134,미국,10024922|10066058|10022667|10018486,20161801|20100041,2018-MF01972|12세이상관람가,10031865,드라마
45,20183844,마이펫의 이중생활 2,The Secret Life of Pets 2,20190731,장편,85,미국,10082756|10075582|10038431|10030469|10081696|10015549|10088165,20100603,2019-MF00935|전체관람가,20112359,애니메이션|어드벤처|코미디
46,20198676,타오르는 여인의 초상,Portrait of a Lady on Fire,20200116,장편,121,프랑스,10041423|10025669,20123058|20154928,2019-MF02573|15세이상관람가,20176620,드라마
47,20165961,슈퍼 프렌즈,Bling,20160810,장편,82,한국,10090985|20239966|20242046|20242048|20113125|10089884|20242047|10050697|20260369|20260618,20168728,2016-MF00955 |전체관람가,20239406|20111323,애니메이션
48,20192696,발신제한,HARD HIT,20210623,장편,94,한국,20134255|20344089|10070393|10005877|20187851|10019068|20343443|20178087|10061947|20332258|10062134|10007517|10028934|20212630|20314646|20344300|20189380|20366676|20367710,20110854,2021-MF01468|15세이상관람가,10006001,스릴러|액션
49,20162001,포레스트: 죽음의 숲,The Forest,20160330,장편,93,미국,10007320|20233246|20233247,20100603,2016-MF00218|12세이상관람가,20233226,공포(호러)
50,20167285,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,Crayon Shinchan 2016 Theatrical Film:Bakusui Yumemmy World Daitotsugeki,20170125,장편,96,일본,10028921|20167745|10000977|20234807|20187646|10062429|20268229|20237947|20268249|20268250|20268251|20162947|20268252|20248076|10088961,20100932,2016-MF02146|전체관람가,20114371,애니메이션
51,20183782,기생충,PARASITE,20190530,장편,131,한국,10037018|10055970|10066680|20174763|20209686|20141806|20304270|20279389|20196006|20326513|20285409|20112023|20160884|20302629|20335292|20335294|20335273|20335295|20335297|20335298|20335275|20335299|20335300|20335277|20335279|20335280|20335281|20335301|20335302|20337310|20335304|20335284|20335305|20335306|20335307|20335308|20186356|20111892|20211007|10001975|20335991|20336113|20317813|20133278|20336391|20336432|20336803|20336937|20337160|20337258|20142726|20291839|20337944|10050397|10050397|20338548|20338863|10054415|20339619|20339634|20339667|20339825|20340430|20340552|20340697|20151626|20341282|20342275|20342250|20164025|20342386|20253061|20342713|20342736|20342810|20343187|20343262|20314024|20343774|20343851|20320417|20344236|20344304|20344289|20344831|20180564|20338641|20133412|20364710,20110854,2019-MF00595|15세이상관람가,10031641,드라마
52,20090305,백야행,White Night,20091119,장편,135,한국,10087518|10036883|10001656|20111405|10005545|10036853|10035365|20133634|10029533|20142049|10035635|20161481|20163036|10028773|20110924|20134082|10054226|10049950|10062134,20100303,2009-F386|청소년관람불가,10028891,멜로/로맨스|미스터리|범죄|스릴러
53,20123501,군도: 민란의 시대,KUNDO : Age of the Rampant,20140723,장편,137,한국,10087253|10000558|20115207|20110148|10067353|10021341|10054532|10061699|20127194|20157197|20111954|10054755|20193691|10061687|20194687|20194851|20196192|20196490|20196756|20197526|20156316|20140360|10037131|10054755|20143806|20113225|20090447|10004852|10006221|10061659|20159610|10028600|10058906|10000737|20277349,20100103,2014-MF00664 |15세이상관람가,10054495,사극|액션
54,20100767,라스트 에어벤더,The Last Airbender,20100819,장편,103,미국,10061058|10011098|20115461|20115462,20100109,2010-F253|전체관람가,10091491,액션|가족|판타지|어드벤처
55,20162569,오베라는 남자,A man called ove,20160525,장편,115,스웨덴,10018139|10078358|10086552|10055311,20100123|20158370,2016-MF00248|12세이상관람가,10086701,드라마
56,20216673,더 박스,The Box,20210324,장편,93,한국,20206946|10065609|20368334|20375061|20349753|20364397|20338073|20375062|20375063|20375064|20111743|20342392|20250406|20344782|20375066|20375067|20375068|20375069|20130284|20375071|10062378|10035845|20122862|10037118|20340462|10087703|20366364|20375139|20375141,20205801,2021-MF00605|12세이상관람가,20373984,드라마
57,20152745,맨 프롬 UNCLE,The Man From U.N.C.L.E.,20151028,장편,116,미국,10088784|10047229|20166160|10011141|10090792,20100043,2015-MF00793 |12세이상관람가,10000296,액션|어드벤처|코미디
58,20113890,고스트 라이더 : 복수의 화신,Ghost Rider: Spirit Of Vengeance,20120216,장편,95,미국,10008729|10055199,20100520,2012-F96|15세이상관람가|2012-F108|15세이상관람가,10024036|10031946,액션|판타지|스릴러
59,20217950,킬러의 보디가드 2,Hitman's Wife's Bodyguard,20210623,장편,116,미국,10014018|10034095|10036357|10026087|10043877,20139196|20161101,2021-MF01478|청소년관람불가|2021-MF01488|청소년관람불가,20136404,액션|코미디|범죄
60,20090284,코렐라인: 비밀의 문,Coraline,20090521,장편,100,미국,10079861|10009990,,2009-F106|전체관람가,10088755,애니메이션|가족|판타지|어드벤처|드라마
61,20183381,5.18 힌츠페터 스토리,5.18 Hinzpeter Story,20180517,장편,94,한국,10083208|10065946|20319938|20303829,20143338,2018-MF00869|12세이상관람가,20303829,다큐멘터리
62,20050290,로드 오브 워,Lord Of War,20051118,장편,118,미국,10047462|10008729,20100091,2005-F308|15세관람가,10045819,액션|드라마|범죄|스릴러
63,20130569,슈퍼윙스 3D,Wings,20130814,장편,76,러시아,10091060|10066254,20139135,2013-MF00477 |전체관람가,20176142,애니메이션|어드벤처|코미디
64,20040725,화양연화,In The Mood For Love,20001020,장편,98,홍콩|프랑스,10060147|10047067,20158370,2000-F295|15세관람가|2020-MF02467|15세이상관람가,10051499,드라마|멜로/로맨스
65,20112707,타워 하이스트,Tower Heist,20111117,장편,105,미국,10047818|10031151,20100603,2011-F596|12세이상관람가,20114451,액션|코미디|범죄
66,20157042,셜록: 유령신부,SHERLOCK,20160102,장편,114,영국,10030708|10024795,20141469,2015-MF01404 |12세이상관람가,20169789,범죄|드라마
67,20183384,서산개척단,Land of Sorrow,20180524,장편,76,한국,20304709|20304729|20304710|20304711|20304712|20304730|20319533|20319533|20320122|20321780|20321949|20322262|20338641,20063002,2018-MF00799|12세이상관람가,20303810,다큐멘터리
68,20090029,알파독,Alpha Dog,20090129,장편,113,미국,10031197|10061177|10048413|10043964,20100123,2009-F12|청소년관람불가,10008972,드라마|범죄
69,20172125,파운더,The Founder,20170420,장편,115,미국,10023532,20102327,2017-MF00385|15세이상관람가,10067767,드라마
70,20173202,버닝,BURNING,20180517,장편,147,한국,10053802|20215507|20282652|20204012|20313816|20313894|20313914|20284531|20197126|20314025|20314795|20314904|20314905|20315279|20315973|10026716|20316385|10066745|20317701|20317701|20317844|20180252|20255668|20256950|20311753|20196448|20227228|20328214|20186171|20334136|20333834|10066745|20111220|20351585,20102327,2018-MF00762|청소년관람불가,10057659,미스터리
71,20192751,찬실이는 복도 많지,Lucky Chan-sil,20200305,장편,95,한국,20307730|10054391|10004973|20133942|20111834|20111061|20175720|10003388|20351274|20291450|20351312|10072915|20363795|10005034|20363775|20319374|20363776|20363777|20363778|20363779|20311509|20363796|20363780|20363781|20226846|20363797|10056688,20061718,2020-MF00110|전체관람가,10003590,드라마|멜로/로맨스|판타지
72,20143754,아메리칸 스나이퍼,American Sniper,20150114,장편,132,미국,10032109|10040153,20100043,2014-MF01428 |청소년관람불가,10078519,액션
73,20110613,의뢰인,The Client,20110929,장편,123,한국,10029595|10060612|10087253|10053565|20123326|20123998|20124456|20125191|20131073|10005240|10072722|10072745|10054122|10029480|20134020|10090086|20137632|20139712|20142426|20143248|20144037|20144118|20144709|20146163|10060407|20151292|20155152|20156874|20163578|20163801|20164258|20136191|20166720|10062060|10072934|10049950|10058237|20316382|20157257|10005301,20100103,2011-F535|15세이상관람가,10036874,스릴러
74,20040482,맹부삼천지교,Father And Son: The Story Of Mencius,20040326,장편,117,한국,10036938|10066929|10036673|20111125|10004034|20130229|10089494|20134934|10042809|20137538|10003894|20150956|20151518|20151746|20152022|20152496|20154000|20158577|20158848|20161810|20162295|20164738|20144749|10061811|10057464,20100109,2004-F072|15세관람가,10005838,코미디
75,20080397,가루지기,A Tale of Legendary Libido,20080430,장편,120,한국,10031644|20166471|20303250|10004866|10050151|10054391|20073291|10019046|20122595|20123239|20125038|20130289|20132523|20133807|10035474|20137257|20139895|20140015|20145019|20145480|20146375|20146973|20147712|20155239|10061639|20155844|20156150|20157594|20157953|20158103|20161994|20162786|20164825|20165218|20142516|20236946|10002379|20333932|10028934,20100103,2008-F162|청소년관람불가,10040668,드라마|뮤지컬|코미디
76,20060056,원초적 본능 2,Basic Instinct 2: Risk Addiction,20060330,장편,113,미국,10035097|10011399,20100303,2006-F068|18세관람가,10023437|10084969,스릴러
77,20112709,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,,20111222,장편,98,일본,10027452|10023884,20110854,2011-F677|전체관람가,10053816,애니메이션|판타지|어드벤처
78,20090336,킹콩을 들다,Lifting Kingkong,20090701,장편,120,한국,10055581|10066441|10004201|20123265|20135355|20138308|20138445|10004260|20142054|20149059|20149103|20149364|20150745|10028504|20153432|20155008|20155116|20155496|20155497|20158841|20162236|20163792|20151089|20165464|10031400|10040580|10003307|10052293|10072221|20137231,20100932,2009-F186|전체관람가,10028404,드라마
79,20050064,간 큰 가족,A Bold Family,20050609,장편,102,한국,10000461|10004748|10004744|10003902|20134248|20142137|20142889|10062400|20152104|20156699|20164267|20164847|10035882|10061228|10040551|10029425|20267675|10057816|20335361|10062493|10050794,20100103,2005-F129|12세관람가,10065792,코미디
80,20080878,알이씨(Rec),Rec,20080710,장편,78,스페인,10021308,20100603,2008-F203|청소년관람불가,10087086|10082317,공포(호러)
81,20090833,쏘우-여섯번의 기회,Saw Ⅵ,20100107,장편,90,미국,10080744|10076347|10035064,20101093,2009-F404|청소년관람불가,10075411,공포(호러)|미스터리|범죄
